metric,n_pairs,median,q25,q75,bootstrap_median_ci_low,bootstrap_median_ci_high
ari,6670,0.04971490446975557,0.007149494042418056,0.47446222693182827,0.044327658878128694,0.05458358025865184
nmi,6670,0.053063302257437814,0.003052301528267356,0.36385668856541814,0.04464878878810758,0.058649159008486065
variation_of_information,6670,1.2227930655017707,0.9936085505660837,1.5774906623654523,1.2188050533632395,1.228128930770467
coassignment_jaccard,6670,0.5335963471826886,0.46668379671416765,0.6588169778038971,0.5295014063419476,0.5368287901666269
