run_id_1,run_id_2,n_common,ari,nmi,variation_of_information,coassignment_jaccard,imputation_1,scaling_1,reduction_1,clustering_1,seed_1,imputation_2,scaling_2,reduction_2,clustering_2,seed_2,same_imputation,same_scaling,same_reduction,same_clustering,same_seed
0,33,1286,-0.0014931204322705702,1.7630340148894354e-05,1.840108400119453,0.3819827436534237,mice,quantile,pca70,hierarchical,0,median,robust,pca70,gmm,4,False,False,True,False,False
0,34,885,0.6499643865612554,0.5427031158112557,0.8545877605934011,0.7245446885734655,mice,quantile,pca70,hierarchical,0,complete_case,quantile,pca80,kmeans,3,False,True,False,False,False
0,35,1286,0.009900577136046244,0.0010335446829095158,1.2279769276603008,0.5340309591674443,mice,quantile,pca70,hierarchical,0,missforest_like,robust,pca90,consensus,3,False,False,False,False,False
0,36,1286,0.7145292288566798,0.5782245098458114,0.7501603221991444,0.7833230943805998,mice,quantile,pca70,hierarchical,0,mice,zscore,pca90,consensus,0,True,False,False,False,True
0,37,885,0.7024913873111579,0.5716613146168914,0.7664656033282631,0.7733907966078132,mice,quantile,pca70,hierarchical,0,complete_case,quantile,pca70,gmm,1,False,True,True,False,False
0,38,1286,0.6967132898030396,0.5593522125511234,0.791315824527997,0.7686692573321164,mice,quantile,pca70,hierarchical,0,knn,zscore,none,kmeans,4,False,False,False,False,False
0,39,1286,0.45511078461745363,0.333183516238445,1.1073591038687913,0.6487363908668592,mice,quantile,pca70,hierarchical,0,missforest_like,quantile,pca80,hierarchical,2,False,True,False,True,False
0,41,1286,-0.005467105660411474,0.00018510086748894277,1.5524620659656407,0.46362587478461287,mice,quantile,pca70,hierarchical,0,median,robust,pca80,kmeans,1,False,False,False,False,False
0,42,1286,-0.056077232071927975,0.06500556228594224,1.1907314424015496,0.5030356375092426,mice,quantile,pca70,hierarchical,0,mice,quantile,ica,gmm,2,True,True,False,False,False
0,43,1286,0.010673127550800205,0.0012038535232585742,1.2247050180996224,0.5347981468887917,mice,quantile,pca70,hierarchical,0,knn,robust,pca70,consensus,4,False,False,True,False,False
0,44,1286,0.3806631875349632,0.2729309762141507,1.3424093558694719,0.5650310717834569,mice,quantile,pca70,hierarchical,0,missforest_like,zscore,none,gmm,3,False,False,False,False,False
0,45,1286,0.5107431664185993,0.3816693202641825,1.0443987765022467,0.6735134935441565,mice,quantile,pca70,hierarchical,0,knn,quantile,pca80,hierarchical,0,False,True,False,True,True
0,46,1286,0.7009166789367627,0.5631357781597615,0.7757493928350682,0.7745902633774504,mice,quantile,pca70,hierarchical,0,median,zscore,none,kmeans,2,False,False,False,False,False
0,47,1286,0.010745356794629596,0.0011856608943846742,1.2338700055784386,0.5333602627148651,mice,quantile,pca70,hierarchical,0,missforest_like,robust,pca70,consensus,1,False,False,True,False,False
0,48,1286,0.055494234213481895,0.016835266794645448,1.7209834086807907,0.43510508638021583,mice,quantile,pca70,hierarchical,0,mice,robust,pca90,gmm,3,True,False,False,False,False
0,49,885,0.4437405744876272,0.3620599057410899,1.2071828856180797,0.589001238838144,mice,quantile,pca70,hierarchical,0,complete_case,quantile,ica,consensus,4,False,True,False,False,False
0,50,1286,0.7009166789367627,0.5631357781597615,0.7757493928350682,0.7745902633774504,mice,quantile,pca70,hierarchical,0,median,zscore,pca90,kmeans,3,False,False,False,False,False
0,52,1286,0.6929021700568747,0.5652439738272791,0.7919219601578567,0.7619333116355379,mice,quantile,pca70,hierarchical,0,knn,quantile,pca80,kmeans,4,False,True,False,False,False
0,53,1286,0.2763913832997151,0.1668853087824542,1.4817588972931666,0.5290735791825537,mice,quantile,pca70,hierarchical,0,missforest_like,robust,none,gmm,0,False,False,False,False,True
0,54,885,0.6825433760049009,0.5595490684934383,0.8150103280481311,0.7501077051885451,mice,quantile,pca70,hierarchical,0,complete_case,zscore,pca70,consensus,1,False,False,True,False,False
0,55,885,0.6275314330421379,0.4885758923577809,0.9206998465098324,0.7222534926962956,mice,quantile,pca70,hierarchical,0,complete_case,quantile,pca90,hierarchical,1,False,True,False,True,False
0,56,1286,-0.006000587039664585,0.00022842260505366645,1.5716297567135171,0.45868132506217885,mice,quantile,pca70,hierarchical,0,median,robust,none,hierarchical,2,False,False,False,True,False
0,57,1286,0.045523549108252556,0.010962566539763234,1.6587713046001786,0.4519540283145501,mice,quantile,pca70,hierarchical,0,knn,robust,pca80,gmm,4,False,False,False,False,False
0,58,1286,0.6776975678514485,0.554650705098874,0.8150548347063311,0.7501249489277196,mice,quantile,pca70,hierarchical,0,missforest_like,quantile,pca70,kmeans,0,False,True,True,False,True
0,59,1286,0.009356633225317768,0.0013888298147280893,1.8262101574408167,0.3904769950473616,mice,quantile,pca70,hierarchical,0,mice,zscore,ica,consensus,3,True,False,False,False,False
0,60,1286,0.00913335892323911,0.0008781378977538633,1.2312164004972108,0.5332656514382402,mice,quantile,pca70,hierarchical,0,missforest_like,robust,pca80,kmeans,0,False,False,False,False,True
0,61,1286,-0.05677834181499838,0.06616177077404421,1.194557221117407,0.5017869317207994,mice,quantile,pca70,hierarchical,0,knn,quantile,pca90,gmm,2,False,True,False,False,False
0,62,1286,0.4548981109557039,0.3182124130473684,1.1767498204431068,0.6351305907409484,mice,quantile,pca70,hierarchical,0,mice,zscore,none,hierarchical,1,True,False,False,True,False
0,63,1286,0.004872127473631238,0.0004649423240384532,1.8257758086003837,0.38927534355661064,mice,quantile,pca70,hierarchical,0,median,zscore,ica,consensus,4,False,False,False,False,False
0,64,885,0.5207688951307539,0.40629246972263844,1.1090365171605563,0.6413050598621264,mice,quantile,pca70,hierarchical,0,complete_case,quantile,pca70,hierarchical,3,False,True,True,True,False
0,65,885,0.033807506483569484,0.007931286538121318,1.4044681237060788,0.5049081384111985,mice,quantile,pca70,hierarchical,0,complete_case,robust,ica,gmm,2,False,False,False,False,False
0,66,1286,0.009900577136046244,0.0010335446829095158,1.2279769276603008,0.5340309591674443,mice,quantile,pca70,hierarchical,0,knn,robust,none,kmeans,3,False,False,False,False,False
0,67,1286,0.6925492551415258,0.5613482196862782,0.7963626216952673,0.76268851824517,mice,quantile,pca70,hierarchical,0,median,quantile,pca70,consensus,4,False,True,True,False,False
0,68,1286,0.4170366948892192,0.28228859007952717,1.2601001374408138,0.6078437930060014,mice,quantile,pca70,hierarchical,0,mice,zscore,pca80,hierarchical,0,True,False,False,True,True
