method,k,n_clusters,min_cluster_fraction,valid_solution,silhouette,mean_uncertainty
kmeans,2,2,0.3001555209953344,True,0.16315998249032418,
gmm,2,2,0.33359253499222397,True,0.15849217768497806,0.08104271497648392
hierarchical,2,2,0.4175738724727838,True,0.10479262587365176,
