feature,missing_pct,variance,kept
LH,0.09175738724727839,28.10902032433004,True
FSH,0.09175738724727839,8.555765468018189,True
TESTO_TOTAL,0.09253499222395023,0.03731339611434224,True
SHBG,0.09253499222395023,977.1986573235384,True
DHEAS,0.08942457231726283,17572.56892170838,True
ANDRO,0.12441679626749612,1.532732992086047,True
AMH,0.12674961119751166,13.535034113448669,True
CORT_8,0.09331259720062209,16.95557643086669,True
CORT_23,0.09253499222395023,6.529896959408314,True
TSH,0.09175738724727839,1.0543267296516063,True
FT4,0.09253499222395023,0.02788883378823889,True
ATA_TPO,0.18895800933125972,0.5082023925380001,True
ANTI_TG,0.2558320373250389,1.5909162815771378,True
GLU0,0.10497667185069985,36.675042288369276,True
GLU120,0.10653188180404355,876.9081601786738,True
INS0,0.13608087091757387,0.24584252725545402,True
INS120,0.7153965785381027,0.536843551585053,False
TCHOL,0.09097978227060653,923.9136755012479,True
LDL,0.09097978227060653,690.48125082848,True
HDL,0.09097978227060653,195.96271735882442,True
TG,0.09097978227060653,0.17791524218058294,True
WBC,0.2651632970451011,2.3132642583624787,True
NEUT,0.29937791601866254,1.2284146711061783,True
LYMPH,0.29937791601866254,0.40115004554610106,True
PLT,0.2651632970451011,2953.179979623153,True
RDW,0.2651632970451011,0.9206037126715092,True
MPV,0.2651632970451011,0.7767265068404429,True
CRP,0.9852255054432348,0.9085126441703907,False
