metric,n,median,q25,q75,bootstrap_median_ci_low,bootstrap_median_ci_high,bootstrap_n
coassignment_robustness_score,1286,0.7188009155443054,0.5779923767628466,0.7642090986732105,0.712679939601178,0.726558074769192,500
coassignment_entropy,1286,0.7370008536331405,0.6315352235569525,0.8405735540478221,0.7197601749975089,0.7536698313394599,500
coassignment_certainty,1286,0.26299914636685945,0.15942644595217792,0.36846477644304754,0.24633016866054017,0.28023982500249117,500
assignment_coverage,1286,1.0,0.7931034482758621,1.0,1.0,1.0,500
