term,sum_sq,df,F,PR(>F),partial_eta_squared
C(imputation),0.06759010511627549,4.0,1.0715744090616517,0.3747981436539036,0.04190490549858064
C(scaling),0.3555606900254655,2.0,11.274127644694113,3.91915265638581e-05,0.1870475456924604
C(reduction),0.06641263188225824,4.0,1.0529067330348523,0.38408940032195216,0.04120496912680592
C(clustering),0.7796110615632589,3.0,16.479951932913163,9.547774629717549e-09,0.3353221931132828
C(seed),0.034831123406129545,4.0,0.5522130852832362,0.6978463474454847,0.02204248716085008
Residual,1.5453500581437234,98.0,,,
