factor,marginal_partial_R2,bootstrap_R2_ci_low,bootstrap_R2_ci_high,relative_marginal_contribution_percent,pseudo_F,permutation_p_value
scaling,0.22766556485671477,0.19423741933593824,0.3007122657424758,41.05323853941933,14.444018252157056,0.001996007984031936
clustering,0.14616930407483547,0.13219980391006875,0.2142857901654182,26.357623785142025,5.5922842267195705,0.001996007984031936
reduction,0.07736497431531233,0.0865534753853324,0.1509301279987298,13.950650583286453,2.0543788366570457,0.001996007984031936
imputation,0.0725484692000955,0.08412446683697299,0.15097537463360627,13.082126028219124,1.9164748090602028,0.001996007984031936
seed,0.030813454070219837,0.049581117611530716,0.09965663893083176,5.55636106393306,0.7789311850136664,0.9041916167664671
