factor,n_same_pairs,n_different_pairs,median_ari_same,median_ari_different,same_factor_ari_advantage,bootstrap_ci_low,bootstrap_ci_high
scaling,2191,4479,0.3531405610587464,0.0227625397435589,0.3303780213151875,0.26590698505927957,0.3774249990290447
clustering,1630,5040,0.10944411351861905,0.04435383844144575,0.0650902750771733,0.025078262945815395,0.13371220057032682
reduction,1291,5379,0.0574522762690441,0.0482307270230989,0.009221549245945204,-0.006861002335591787,0.022924753009059988
imputation,1289,5381,0.0565146686484765,0.0481127756172237,0.0084018930312528,-0.00355871022321881,0.022855510724418944
seed,1289,5381,0.0446163300022275,0.0506979879054909,-0.006081657903263399,-0.0148032549414033,0.008996723385231761
