factor,marginal_sum_of_squares,residual_sum_of_squares,df_factor,df_residual,pseudo_F,marginal_partial_R2,bootstrap_R2_ci_low,bootstrap_R2_ci_high,permutation_p_value,n_permutations,n_bootstrap,relative_marginal_contribution_percent
scaling,7.6403529673677415,25.91919290500136,2,98,14.444018252157056,0.22766556485671477,0.19423741933593824,0.3007122657424758,0.001996007984031936,500,500,41.05323853941933
clustering,4.437168173018599,25.91919290500136,3,98,5.5922842267195705,0.14616930407483547,0.13219980391006875,0.2142857901654182,0.001996007984031936,500,500,26.357623785142025
reduction,2.1733812802965815,25.91919290500136,4,98,2.0543788366570457,0.07736497431531233,0.0865534753853324,0.1509301279987298,0.001996007984031936,500,500,13.950650583286453
imputation,2.0274889907594713,25.91919290500136,4,98,1.9164748090602028,0.0725484692000955,0.08412446683697299,0.15097537463360627,0.001996007984031936,500,500,13.082126028219124
seed,0.8240517405751235,25.91919290500136,4,98,0.7789311850136664,0.030813454070219837,0.049581117611530716,0.09965663893083176,0.9041916167664671,500,500,5.55636106393306
