column,non_missing,missing_pct,variance,drop_all_missing,drop_high_missing
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m)",83,0.9354587869362364,2878.7549103732,False,True
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m)",83,0.9354587869362364,2845.6589685571553,False,True
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0)",62,0.9517884914463453,16.765713907985194,False,True
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)",61,0.9525660964230172,1735.8235683060107,False,True
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)",62,0.9517884914463453,1559.7539079851929,False,True
"Jonogram (Sód, potas, chlorki) (L_CI)",84,0.9346811819595645,3.556844520940908,False,True
"Jonogram (Sód, potas, chlorki) (L_K)",84,0.9346811819595645,0.1323324727481354,False,True
"Jonogram (Sód, potas, chlorki) (L_NA)",84,0.9346811819595645,4.125580895008608,False,True
Kortyzol godz. 08:00 (KOR),1165,0.09409020217729394,16.963005600858367,False,False
Kortyzol godz. 23:00 (KOR23),1167,0.09253499222395023,6.529896959408314,False,False
Kortyzol na czczo (KORCZ),1,0.9992223950233281,,False,True
Kortyzol po Dexamethasonie (KORD),229,0.8219284603421462,0.8404459721903013,False,True
Kortyzol po Dexamethasonie [1mg] (KORD),400,0.6889580093312597,1.2424829974937341,False,True
Kortyzol po Dexamethasonie [2mg] (KOR2DXM),537,0.5824261275272161,0.06631802996192224,False,True
Kortyzol po Dexamethasonie [4mg] (KOR4DXM),3,0.9976671850699844,0.00583333333333334,False,True
Kreatynina (KREAT),113,0.9121306376360808,0.01106923198482933,False,True
Krzywa cukrowa - 2 punktowa (GLU120),1149,0.10653188180404355,876.9081601786738,False,False
Krzywa cukrowa - 2 punktowa (L_GLU_0),1150,0.1057542768273717,36.6813325859916,False,False
LDL cholesterol (LDL),1169,0.09097978227060653,690.48125082848,False,False
LH (LH),1168,0.09175738724727839,28.10902032433004,False,False
LH 0' 30' 60' (LH0),15,0.9883359253499222,3.719769523809524,False,True
LH 0' 30' 60' (L_LH30),15,0.9883359253499222,247.10564000000005,False,True
LH 0' 30' 60' (L_LH60),15,0.9883359253499222,136.89218380952383,False,True
LH IU/l,0,1.0,,True,True
Limf 10^3/uL,0,1.0,,True,True
MDRD GFR (MDRD),104,0.9191290824261276,0.0,False,True
MPV fL,0,1.0,,True,True
Mocz - badanie ogólne (MBARWA),0,1.0,,True,True
Mocz - badanie ogólne (MBIALK),0,1.0,,True,True
Mocz - badanie ogólne (MBILI),0,1.0,,True,True
Mocz - badanie ogólne (MCIEZA),7,0.994556765163297,248438.42303958334,False,True
Mocz - badanie ogólne (MCUKIE),0,1.0,,True,True
Mocz - badanie ogólne (MERY),2,0.9984447900466563,25312.5,False,True
Mocz - badanie ogólne (MKETON),0,1.0,,True,True
Mocz - badanie ogólne (MLEU),3,0.9976671850699844,212366875.0,False,True
Mocz - badanie ogólne (MNIT),0,1.0,,True,True
Mocz - badanie ogólne (MOSAD),0,1.0,,True,True
Mocz - badanie ogólne (MPH),7,0.994556765163297,0.7023809523809522,False,True
Mocz - badanie ogólne (MPRZEJ),0,1.0,,True,True
Mocz - badanie ogólne (MUROBI),0,1.0,,True,True
Morfologia CBC (HCT),44,0.9657853810264385,8.930443974630021,False,True
Morfologia CBC (HGB),44,0.9657853810264385,1.4660200845665963,False,True
Morfologia CBC (MCH),44,0.9657853810264385,4.715618393234673,False,True
Morfologia CBC (MCHC),44,0.9657853810264385,1.659297040169132,False,True
Morfologia CBC (MCV),44,0.9657853810264385,21.85342494714588,False,True
Morfologia CBC (MPV),44,0.9657853810264385,0.7290644820295984,False,True
Morfologia CBC (NRBC_B),44,0.9657853810264385,0.0,False,True
Morfologia CBC (NRBC_P),44,0.9657853810264385,0.0,False,True
Morfologia CBC (PCT),44,0.9657853810264385,0.0039858350951374215,False,True
Morfologia CBC (PDW),44,0.9657853810264385,3.5972093023255813,False,True
Morfologia CBC (PLCR),44,0.9657853810264385,49.65608350951374,False,True
Morfologia CBC (PLT),44,0.9657853810264385,3911.6511627906975,False,True
Morfologia CBC (RBC),44,0.9657853810264385,0.1401511099365751,False,True
Morfologia CBC (RDW),44,0.9657853810264385,1.6883720930232564,False,True
Morfologia CBC (RDWSD),44,0.9657853810264385,8.810755813953488,False,True
Morfologia CBC (WBC),44,0.9657853810264385,3.817620877378435,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASO)",901,0.29937791601866254,0.0781673942532988,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASOB)",901,0.29937791601866254,0.0003238550992724134,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS#)",901,0.29937791601866254,0.014590857319028242,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS)",901,0.29937791601866254,3.316707658157603,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HCT)",901,0.29937791601866254,8.044560776092407,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HGB)",901,0.29937791601866254,1.0335320754716981,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_B)",901,0.29937791601866254,0.000124045011715378,False,False
