metric,n_valid,median,q25,q75,bootstrap_median_ci_low,bootstrap_median_ci_high
ari_vs_reference,116,0.0793355222805549,0.05184580685936044,0.12144652080872208,0.07023189108986388,0.09452648555453504
nmi_vs_reference,116,0.04143550532623415,0.02468485310573402,0.10994790741733923,0.03231746264375389,0.04565992122165634
variation_of_information_vs_reference,116,1.6938419646720728,1.209883885090867,1.772083058996774,1.66401208397893,1.7264091760816485
coassignment_jaccard_vs_reference,116,0.43848103770258706,0.4157587483029298,0.49767627796316316,0.4297128950800654,0.4566654168775696
silhouette,116,0.14792479928494917,0.11980060026884634,0.2193148051420482,0.1369745708979842,0.15716236461293362
mean_posterior_uncertainty,116,0.12007217311343102,0.042412252084540324,0.14312660606722455,0.06109221839595949,0.1307196171373135
