scaling,n,median_ari,median_nmi,median_jaccard,median_silhouette,median_uncertainty
quantile,41,0.059655235266736356,0.029032372428062708,0.4144204299729045,0.11952114375790412,0.12109787465767066
robust,39,0.11965250861593474,0.12360245074048017,0.5254566196619898,0.3534329670129911,0.06332797089155903
zscore,36,0.09742161264854998,0.04389320372551998,0.43848103770258706,0.1452924256825803,0.1292627796998677
