imputation,n,median_ari,median_nmi,median_jaccard,median_silhouette,median_uncertainty
complete_case,24,0.055820701592353125,0.03004713262216082,0.420836132357403,0.17134595693149415,0.09050352031006038
knn,23,0.09337848908879874,0.04316271770300403,0.4529501721155152,0.14300972679288043,0.10312989616614121
median,24,0.08046546823674736,0.04316843318114553,0.44181191803113806,0.15469251900057826,0.125
mice,22,0.08538513290233957,0.04361113368856023,0.4470874151429223,0.13761798807013736,0.13029556418221155
missforest_like,23,0.08880024809959122,0.04096312343972017,0.43579074636095005,0.13822882744385537,0.09306241158875869
