reduction,n,median_ari,median_nmi,median_jaccard,median_silhouette,median_uncertainty
ica,21,0.04918507232939473,0.06922388252432382,0.456376741735514,0.11458521897412005,0.6353200579037016
none,24,0.09452648555453504,0.043099654392496155,0.440666134715501,0.13214288762699222,0.04417515305287364
pca70,24,0.07372964016776634,0.03798925631642797,0.4219507922412908,0.1802543057684774,0.1277247834066519
pca80,24,0.08879003543037456,0.04094620485688143,0.43931533822583346,0.1601611735516289,0.06403671165153872
pca90,23,0.09218889082697108,0.04349186346957204,0.4399104590736902,0.14766806511695546,0.06746333817891086
