seed,n,median_ari,median_nmi,median_jaccard,median_silhouette,median_uncertainty
0,23,0.07004952152776553,0.029748323650531046,0.4249695510352648,0.150004110585805,0.12602570154423964
1,22,0.08319019598808697,0.04187047131793385,0.43272136721839166,0.15908478773271373,0.125
2,23,0.07881987641261917,0.03929336151449494,0.45747645656239255,0.13742268130595175,0.058296879245209196
3,24,0.10085504110988144,0.081175995151133,0.4485442301647298,0.14261652178829642,0.06109221839595949
4,24,0.07440435651249598,0.037152481436262215,0.4374773666078968,0.14559563012291166,0.1345678054197355
