clustering,n,median_ari,median_nmi,median_jaccard,median_silhouette,median_uncertainty
consensus,30,0.07709909803768802,0.040823250812911105,0.4300687021471683,0.15063307450637903,0.14401762655808448
gmm,30,0.25544648113417745,0.19199435598975229,0.5196499220720705,0.18478963253743436,0.040649351116207
hierarchical,26,0.06383113324645186,0.02686141004158195,0.4247865279182382,0.12952201269586985,
kmeans,30,0.07023189108986388,0.0307440933816555,0.42905459220056585,0.14792479928494917,
